epoch,step,d_loss,g_loss,D_real,D_fake
5,49,1.346226,0.765758,0.487072,0.462517
6,1,1.350431,0.749734,0.495955,0.468781
6,2,1.361778,0.737504,0.496441,0.480617
6,3,1.354305,0.738071,0.508886,0.489686
6,4,1.372865,0.722319,0.511255,0.501697
6,5,1.361194,0.700448,0.521728,0.502966
6,6,1.365785,0.680572,0.539567,0.519249
6,7,1.388375,0.672223,0.550410,0.540676
6,8,1.392472,0.689039,0.549276,0.534047
6,9,1.342838,0.714075,0.554149,0.515988
6,10,1.327665,0.732988,0.535681,0.498098
6,11,1.311161,0.727263,0.549626,0.491815
6,12,1.342760,0.733184,0.536193,0.499623
6,13,1.288473,0.731980,0.585145,0.504619
6,14,1.318988,0.759042,0.597466,0.519959
6,15,1.330581,0.807709,0.556061,0.501262
6,16,1.330393,0.816117,0.522761,0.486150
6,17,1.407435,0.803360,0.478868,0.479818
6,18,1.363803,0.869013,0.474052,0.470143
6,19,1.378993,0.914272,0.432044,0.422548
6,20,1.355226,0.936189,0.417891,0.392886
6,21,1.418196,0.874974,0.405014,0.385343
6,22,1.371991,0.831691,0.430709,0.410741
6,23,1.342594,0.821920,0.449602,0.429147
6,24,1.358443,0.805981,0.460965,0.437596
6,25,1.339654,0.798070,0.503266,0.451468
6,26,1.363683,0.768024,0.486561,0.460227
6,27,1.350358,0.708776,0.498982,0.475184
6,28,1.347702,0.648097,0.532613,0.503312
6,29,1.364000,0.670975,0.583565,0.543694
6,30,1.404198,0.689370,0.558617,0.544510
6,31,1.382975,0.736713,0.523257,0.514997
6,32,1.376484,0.745177,0.501341,0.490080
6,33,1.388157,0.761380,0.479750,0.479834
6,34,1.372611,0.778765,0.486085,0.477576
6,35,1.371892,0.783149,0.465273,0.465503
6,36,1.379347,0.759844,0.468882,0.460448
6,37,1.374629,0.747975,0.473500,0.463259
6,38,1.345864,0.766400,0.490333,0.467909
6,39,1.332444,0.756163,0.485742,0.466295
6,40,1.371794,0.769968,0.472758,0.469808
6,41,1.378038,0.781495,0.478022,0.469613
6,42,1.369945,0.774341,0.485464,0.476275
6,43,1.388462,0.760880,0.476280,0.480399
6,44,1.403984,0.729820,0.491495,0.492331
6,45,1.398257,0.735406,0.487491,0.493664
6,46,1.355569,0.709590,0.502508,0.486195
6,47,1.364563,0.698458,0.512351,0.499586
6,48,1.358114,0.701420,0.530147,0.505644
6,49,1.390050,0.718874,0.534504,0.525069
7,1,1.347258,0.730569,0.517712,0.494142
7,2,1.383042,0.779983,0.502356,0.491438
7,3,1.353221,0.788147,0.481829,0.459542
7,4,1.370545,0.800926,0.476097,0.467059
7,5,1.353779,0.814089,0.477210,0.453441
7,6,1.340560,0.812241,0.477039,0.446243
7,7,1.343868,0.802226,0.479219,0.450203
7,8,1.340978,0.793595,0.480394,0.458072
7,9,1.354824,0.768454,0.476874,0.460877
7,10,1.327723,0.774523,0.503536,0.469360
7,11,1.354531,0.774362,0.503699,0.475068
7,12,1.350687,0.768898,0.513263,0.477466
7,13,1.347500,0.781381,0.539567,0.490281
7,14,1.351597,0.730560,0.521989,0.490638
7,15,1.340938,0.694371,0.538289,0.504473
7,16,1.323461,0.704515,0.589402,0.524528
7,17,1.311002,0.759557,0.581226,0.514178
7,18,1.333174,0.794250,0.535127,0.481064
7,19,1.304570,0.802864,0.519225,0.459119
7,20,1.327654,0.831655,0.544582,0.492446
7,21,1.387463,0.940054,0.495896,0.488354
7,22,1.471785,0.859883,0.400307,0.434899
7,23,1.408996,0.868504,0.448222,0.453859
7,24,1.366351,0.929365,0.454764,0.447110
7,25,1.384832,0.886279,0.441273,0.424961
7,26,1.381791,0.816819,0.454987,0.448423
7,27,1.396184,0.784917,0.457248,0.462552
7,28,1.376830,0.772852,0.473857,0.468911
7,29,1.384225,0.773751,0.482187,0.479973
7,30,1.371422,0.788185,0.477416,0.469275
7,31,1.370907,0.793440,0.473371,0.461761
7,32,1.383926,0.788235,0.457555,0.454061
7,33,1.354878,0.794575,0.481953,0.451824
7,34,1.326314,0.802912,0.497774,0.450155
7,35,1.319296,0.825210,0.501788,0.457692
7,36,1.321582,0.828411,0.500384,0.449889
7,37,1.324289,0.836994,0.505231,0.456373
7,38,1.317261,0.863050,0.515563,0.457018
7,39,1.304624,0.889392,0.518152,0.452562
7,40,1.383175,0.871628,0.467754,0.431769
7,41,1.397735,0.821659,0.447394,0.445688
7,42,1.396821,0.828652,0.457303,0.454375
7,43,1.343049,0.829921,0.480833,0.443087
7,44,1.329747,0.820165,0.493498,0.442492
7,45,1.314789,0.803640,0.526915,0.463739
7,46,1.314926,0.751966,0.529964,0.467090
7,47,1.421480,0.736217,0.527072,0.525854
7,48,1.402518,0.754430,0.542992,0.531288
7,49,1.444032,0.805484,0.490040,0.509264
8,1,1.413189,0.839038,0.449552,0.463560
8,2,1.403604,0.807727,0.446616,0.437839
8,3,1.386981,0.789071,0.454987,0.446681
8,4,1.374277,0.777428,0.466239,0.453634
8,5,1.374355,0.769791,0.473908,0.458531
8,6,1.366599,0.773782,0.475116,0.458690
8,7,1.344636,0.765320,0.487012,0.464337
8,8,1.350483,0.755174,0.490808,0.465986
8,9,1.353574,0.784016,0.498899,0.478024
8,10,1.369776,0.777447,0.486237,0.473266
8,11,1.369969,0.757631,0.491594,0.473700
8,12,1.391488,0.754229,0.482241,0.475968
8,13,1.380409,0.714130,0.485994,0.478846
8,14,1.372633,0.711849,0.500584,0.489740
8,15,1.372850,0.731194,0.512047,0.500176
8,16,1.383056,0.726894,0.502601,0.496983
8,17,1.374950,0.738079,0.486667,0.478475
8,18,1.361762,0.727142,0.494527,0.481589
8,19,1.358827,0.721191,0.509031,0.487935
8,20,1.342102,0.747670,0.515416,0.489150
8,21,1.343830,0.758760,0.504628,0.479634
8,22,1.326656,0.775716,0.505664,0.466364
8,23,1.325315,0.819228,0.497568,0.460530
8,24,1.327054,0.827546,0.506234,0.449668
8,25,1.337731,0.877667,0.490151,0.453189
8,26,1.351119,0.928141,0.459840,0.434237
8,27,1.356804,1.012472,0.435175,0.421153
8,28,1.376497,1.013815,0.401853,0.368281
8,29,1.300966,0.941494,0.420510,0.378913
8,30,1.464057,0.815770,0.426439,0.431500
8,31,1.394078,0.759791,0.477351,0.482552
8,32,1.390628,0.786940,0.472043,0.478667
8,33,1.381729,0.777551,0.470945,0.465552
8,34,1.348738,0.756349,0.494676,0.468452
8,35,1.296954,0.748571,0.538622,0.479104
8,36,1.272948,0.747317,0.573874,0.495672
8,37,1.324130,0.704953,0.588684,0.536995
8,38,1.362518,0.753513,0.665707,0.570827
8,39,1.258432,0.828123,0.608647,0.510990
8,40,1.241915,0.928586,0.552577,0.446889
8,41,1.320584,0.911587,0.496166,0.439037
8,42,1.307280,0.807921,0.535292,0.462772
8,43,1.430686,0.820284,0.535686,0.537326
8,44,1.508394,0.894301,0.435898,0.499548
8,45,1.431171,0.897312,0.383676,0.409010
8,46,1.459625,0.884452,0.375846,0.405391
8,47,1.414669,0.858186,0.403195,0.406964
8,48,1.393045,0.840851,0.427799,0.416375
8,49,1.367111,0.836723,0.442132,0.424850
9,1,1.332311,0.850420,0.468871,0.422963
9,2,1.319715,0.874133,0.456975,0.420338
9,3,1.339797,0.860275,0.457931,0.417795
9,4,1.350962,0.802110,0.461575,0.437442
9,5,1.396240,0.789825,0.479175,0.467924
9,6,1.372863,0.762918,0.475032,0.462927
9,7,1.438585,0.761724,0.455138,0.478254
9,8,1.404457,0.726468,0.459643,0.458540
9,9,1.390396,0.726375,0.486814,0.485460
9,10,1.375172,0.751685,0.494337,0.487146
9,11,1.372479,0.807950,0.479179,0.473596
9,12,1.368884,0.808636,0.469478,0.453645
9,13,1.369764,0.813123,0.471261,0.450467
9,14,1.403740,0.762033,0.458202,0.461503
9,15,1.375274,0.762657,0.470210,0.466482
9,16,1.382125,0.766495,0.467815,0.462846
9,17,1.379924,0.787325,0.467930,0.465344
9,18,1.366184,0.791600,0.464480,0.454810
9,19,1.384250,0.782142,0.458228,0.448572
9,20,1.368090,0.780916,0.466104,0.452233
9,21,1.357067,0.782282,0.474295,0.456519
9,22,1.342239,0.792510,0.477190,0.450046
9,23,1.357786,0.781637,0.470304,0.444819
9,24,1.357994,0.756381,0.477891,0.449297
9,25,1.348328,0.731937,0.496971,0.469616
9,26,1.313992,0.780996,0.522829,0.473621
9,27,1.304869,0.835487,0.511306,0.455802
9,28,1.343778,0.826809,0.466931,0.433156
9,29,1.363204,0.760787,0.479844,0.436534
9,30,1.317637,0.758993,0.519524,0.470740
9,31,1.290251,0.781515,0.543467,0.474971
