Epoch,Step,d_loss,g_loss,D_real,D_fake
390,5,1.891921,-0.060240,0.522608,0.495643
391,5,1.923942,0.114469,0.503662,0.484680
392,5,2.013786,-0.242579,0.547979,0.551444
393,5,1.908510,0.047394,0.522965,0.500165
394,5,1.958035,0.120518,0.478111,0.467651
395,5,1.890038,0.030242,0.531122,0.503742
396,5,2.040431,-0.171948,0.553849,0.564097
397,5,1.838925,0.167563,0.479795,0.439875
398,5,1.946056,0.126004,0.485992,0.472521
399,5,1.985053,-0.352749,0.583236,0.579801
400,5,1.900438,0.001826,0.559104,0.534659
401,5,1.769565,0.427155,0.422932,0.368020
402,5,1.982209,-0.134713,0.528101,0.523687
403,5,1.884624,-0.250162,0.580269,0.552272
404,5,1.919701,0.082946,0.528581,0.508597
405,5,1.854600,0.365651,0.458204,0.422457
406,5,1.927683,-0.079179,0.538657,0.520693
407,5,1.886975,-0.059462,0.564954,0.537369
408,5,1.864130,0.289478,0.485930,0.452106
409,5,2.046200,-0.099581,0.542143,0.553596
410,5,1.998700,-0.016193,0.559006,0.558683
411,5,1.935114,0.249358,0.472645,0.456572
412,5,1.914971,0.035286,0.515356,0.494348
413,5,1.976794,-0.277550,0.569802,0.564251
414,5,1.943619,0.022310,0.540728,0.526711
415,5,1.951794,0.348997,0.431185,0.419537
416,5,1.892632,-0.006004,0.521112,0.494358
417,5,2.002764,-0.302431,0.575158,0.575818
418,5,1.959014,0.242612,0.466817,0.456644
419,5,1.951805,0.244274,0.449595,0.437819
420,5,1.984851,0.052547,0.480702,0.476990
421,5,1.935906,-0.279489,0.561817,0.546109
422,5,1.807509,0.150020,0.520997,0.473085
423,5,2.039984,0.209483,0.467039,0.476875
424,5,1.983165,0.024557,0.503462,0.499295
425,5,1.848830,-0.013796,0.545453,0.507903
426,5,1.925119,-0.069293,0.554726,0.536400
427,5,1.934960,0.023786,0.521358,0.505229
428,5,1.985688,0.058240,0.502720,0.499188
429,5,2.058432,0.328896,0.453279,0.467695
430,5,1.869303,0.023058,0.528346,0.496058
431,5,1.930172,-0.197026,0.584330,0.567379
432,5,1.871567,0.073681,0.527967,0.496014
433,5,1.950872,0.188125,0.482448,0.470239
434,5,1.952179,-0.067482,0.528270,0.516432
435,5,1.955570,-0.090923,0.538377,0.527385
436,5,1.866988,0.049724,0.536519,0.503534
437,5,2.022201,0.019752,0.515687,0.521355
438,5,2.002269,0.019218,0.493429,0.493980
439,5,1.838943,0.145163,0.523297,0.483231
440,5,2.086127,-0.175456,0.557149,0.578349
441,5,1.814520,0.068721,0.534406,0.488306
442,5,1.938742,0.209003,0.469143,0.454004
443,5,2.029226,0.014802,0.523106,0.530351
444,5,1.890519,0.037260,0.534017,0.507066
445,5,1.853586,0.088188,0.562250,0.526064
446,5,1.826287,0.088245,0.559361,0.516588
447,5,1.891260,0.095770,0.536654,0.509769
448,5,1.911905,-0.194950,0.543691,0.521946
449,5,1.952982,-0.019627,0.531618,0.519950
450,5,1.887786,0.011690,0.529309,0.501493
451,5,1.870974,0.117618,0.515137,0.483068
452,5,1.940010,0.021125,0.539868,0.524987
453,5,1.958092,-0.062067,0.506289,0.495862
454,5,1.882401,0.103359,0.526363,0.497116
455,5,1.888380,-0.046062,0.552281,0.523826
456,5,1.817804,-0.095900,0.561919,0.517296
457,5,1.906904,-0.006268,0.519531,0.496386
458,5,1.884873,-0.020657,0.540065,0.511491
459,5,1.847029,0.047813,0.525636,0.487745
460,5,1.858706,-0.185350,0.557284,0.522739
461,5,1.907879,0.044888,0.593628,0.569804
462,5,1.873685,0.455403,0.437650,0.406592
463,5,1.880013,-0.048094,0.531904,0.502228
464,5,1.936917,-0.369144,0.616140,0.600771
465,5,1.748191,0.521140,0.483229,0.421267
466,5,1.978824,0.043503,0.467343,0.461880
467,5,1.891997,-0.264236,0.608013,0.581683
468,5,1.844655,0.152662,0.525388,0.486881
469,5,1.784996,0.497495,0.414623,0.363362
470,5,1.782299,-0.267198,0.607145,0.554496
471,5,2.020376,0.034478,0.545091,0.550075
472,5,1.863425,0.234167,0.469886,0.436245
473,5,1.906983,-0.151495,0.532077,0.509098
474,5,1.812716,-0.070950,0.560792,0.514801
475,5,2.029206,0.225598,0.486609,0.493863
476,5,1.868703,0.086221,0.494433,0.461848
477,5,1.848790,-0.172146,0.579739,0.542356
478,5,1.900629,0.113473,0.485477,0.460763
479,5,1.839644,0.073679,0.509409,0.469512
480,5,1.879123,-0.080458,0.571424,0.541869
481,5,1.855019,0.156613,0.524146,0.488275
482,5,1.965239,-0.058139,0.551855,0.544343
483,5,1.929892,0.289063,0.472011,0.454771
484,5,1.823782,0.146891,0.473175,0.429812
485,5,1.871590,-0.130886,0.565379,0.534135
486,5,1.822670,0.260853,0.497638,0.453686
487,5,2.062454,-0.104960,0.520998,0.536384
488,5,2.043262,-0.123735,0.550756,0.561198
489,5,1.860134,0.279089,0.462396,0.428166
490,5,1.897793,0.110425,0.470617,0.445273
491,5,1.787822,-0.143430,0.612018,0.561087
492,5,1.964292,-0.009332,0.530323,0.521476
493,5,1.871719,0.315557,0.451446,0.420353
494,5,1.783325,0.011368,0.539930,0.486259
495,5,1.916815,-0.137305,0.575812,0.555444
496,5,1.857515,0.159902,0.537819,0.502582
497,5,1.797026,0.280875,0.487734,0.437510
498,5,1.811612,-0.206225,0.549458,0.503169
499,5,1.920641,-0.136438,0.547229,0.527862
500,5,1.814240,0.260242,0.523003,0.477112
